MapId,MapName,MapType,RegionHint,Difficulty,MinLevel,Description
1,乡村池塘,池塘,温带乡村,1,1,午后阳光洒在浮萍点缀的水面上，蜻蜓在芦苇间飞舞。这里是每个钓鱼人的起点，鲫鱼和麦穗鱼在浅水区成群觅食，偶尔能见到大鲤鱼翻出的水花。
2,大湖深水,湖泊,大型淡水湖,3,3,烟波浩渺的广阔湖面望不到边际，深水区藏着几十斤的巨物。清晨湖面起雾时是大鱼靠岸觅食的黄金窗口，远投重装备在这里才能发挥作用。
3,山间溪流,溪流,高山冷水溪,3,4,清澈见底的冰凉溪水从雪峰奔流而下，两岸冷杉林立。鳟鱼和茴鱼在激流中精准捕食漂过的飞虫，需要最精细的钓法才能骗过它们。
4,大河奔流,河流,大型河流,4,6,浑黄的河水滚滚东流，洄水湾和深潭是大鱼藏身之所。鳡鱼追食小鱼的炸水声不时响起，这里是力量型钓手的天堂。
5,热带雨林河,河流,亚马逊/东南亚,6,10,浑浊的河水在热带丛林间蜿蜒，水中潜伏着地球上最凶猛的淡水掠食者。水面不时被巨物炸开，每一竿都可能是破纪录的怪物。
6,城市运河,运河,城市水域,1,1,钢筋水泥丛林中一条不起眼的水泥水道，水质浑浊却生机勃勃。罗非鱼和清道夫在垃圾间穿梭，偶尔能钓到被人放生的观赏鱼。
7,河口湿地,河口,咸淡水交汇,3,5,淡水与海水在这里交融，潮汐带来丰富的养分。洄游鱼群随潮水进出，鲈鱼和鲷鱼在浑浊的水中伏击猎物，是物种最丰富的钓场之一。
8,红树林沼泽,红树林,热带红树林,4,8,密密麻麻的气生根从水面伸出如迷宫，潮水退去露出泥滩上无数的蟹洞。青蟹和笛鲷在树根间穿梭，弹涂鱼在泥地上跳跃。
9,近海岩礁,近海,温带沿海礁区,4,7,海浪拍打着嶙峋的礁石溅起白色泡沫，海藻在水中摇曳。石斑鱼藏在岩缝中只露双眼，黑鲷在礁石下游弋觅食贝类。
10,珊瑚礁泻湖,珊瑚礁,热带珊瑚礁,5,12,水晶般透明的浅蓝泻湖中彩色珊瑚如海底花园。数百种珊瑚鱼穿梭其间，神仙鱼优雅地游过，鹦嘴鱼啃食珊瑚发出清脆声响。
11,远洋表层,远洋,热带/温带远洋,7,18,一望无际的深蓝大海看不到陆地，只有飞鱼偶尔掠过浪尖。金枪鱼群在深处巡游，水面随时可能被旗鱼的背鳍划破。
12,深海深渊,深海,大陆坡/深海,8,25,阳光无法到达的黑暗世界，水压足以压碎普通潜艇。发光生物如星辰般闪烁，海底潜伏着地球上最奇异的巨型生物。
13,极地冰海,极地,北极/南极,7,22,冰封的海面上只有破冰船开辟的水道可以下竿。刺骨的寒风中北极鳕在冰下巡游，古老如时间本身的格陵兰鲨在深水中缓慢游弋。
14,地下暗河,溪流,洞穴地下河,6,28,伸手不见五指的洞穴深处，只有头灯照亮钟乳石倒映的水面。盲鱼和透明虾在这里演化出独特形态，每一次抛竿都是对未知的探索。
15,传说钓场,湖泊,终极隐秘钓点,10,50,只存在于老钓手口耳相传中的神秘水域。湖水如镜倒映着雪山，据说这里能钓到世界上所有已知鱼种的传说级个体，但从来没人找到过入口。
