MapFishId,MapId,FishId,SpawnWeight,BestTime,BestSeason,BestWeather,MinDepth_m,MaxDepth_m
1,2,1,2005,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
2,6,1,2005,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
3,3,1,1995,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
4,15,1,1995,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
5,4,1,1993,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
6,14,2,1336,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
7,3,2,1335,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
8,6,2,1334,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
9,4,2,1334,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
10,15,2,1331,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
11,2,3,1337,7-11;14-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
12,14,3,1333,7-11;14-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
13,4,3,1332,7-11;14-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
14,14,4,1340,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
15,4,4,1338,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
16,15,4,1338,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
17,3,4,1335,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
18,3,5,1338,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
19,6,5,1336,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
20,14,5,1335,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
21,3,6,603,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
22,6,6,601,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
23,2,7,1339,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
24,4,7,1336,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
25,3,7,1334,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
26,6,7,1333,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
27,4,8,753,9-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
28,3,8,751,9-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
29,1,8,750,9-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
30,5,8,749,9-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
31,2,9,2004,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy,,
32,14,9,2004,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy,,
33,3,9,2002,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy,,
34,5,9,2002,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy,,
35,6,9,1999,5-9;16-20,Spring;Summer;Autumn,Sunny;Cloudy,,
36,2,10,602,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
37,14,10,602,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
38,1,10,602,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
39,15,10,600,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
40,1,11,753,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
41,6,11,752,4-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy,,
42,3,12,1340,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
43,15,12,1340,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
44,14,12,1338,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
45,6,13,753,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
46,1,13,752,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
47,15,13,752,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
48,4,13,750,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
49,5,14,1339,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
50,1,14,1336,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
51,3,14,1336,7-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
52,5,15,2008,6-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
53,6,15,2007,6-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
54,3,15,2003,6-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
55,4,15,1995,6-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
56,1,15,1994,6-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
57,6,16,2003,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
58,15,16,2003,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
59,1,16,2002,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
60,3,16,2000,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
61,4,16,1998,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
62,15,17,1339,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
63,4,17,1338,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
64,2,17,1332,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
65,3,17,1331,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
66,14,17,1330,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
67,2,18,753,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
68,1,18,752,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
69,4,18,751,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
70,5,19,753,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
71,1,19,753,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
72,6,19,752,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
73,3,20,754,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
74,14,20,753,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
75,6,20,752,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
76,4,21,1336,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
77,14,21,1335,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
78,3,21,1335,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
79,15,21,1332,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
80,5,21,1330,8-16,Spring;Summer;Autumn,Sunny;Cloudy,,
81,15,22,2009,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
82,14,22,2009,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
83,4,22,2003,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
84,1,22,2001,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
85,2,22,1996,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
86,2,23,1340,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
87,3,23,1340,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
88,1,23,1333,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
89,3,24,335,7-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
90,14,24,335,7-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
91,6,24,334,7-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
92,1,25,753,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
93,2,25,752,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
94,5,26,286,7-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
95,15,27,603,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
96,1,27,603,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
97,14,28,753,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
98,1,28,753,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
99,5,29,335,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
100,15,30,1338,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
101,1,30,1338,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
102,3,30,1338,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
103,14,31,754,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
104,4,31,753,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
105,3,31,751,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
106,15,32,1339,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
107,2,32,1336,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
108,4,32,1335,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
109,5,32,1334,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
110,1,32,1332,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
111,6,33,603,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
112,2,33,603,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
113,15,33,602,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
114,3,33,601,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
115,14,34,601,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
116,6,34,600,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
117,2,34,600,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
118,3,34,599,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
119,15,35,753,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
120,1,35,752,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
121,14,35,752,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
122,4,35,752,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
123,6,36,752,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
124,4,36,751,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
125,3,36,750,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
126,5,36,749,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
127,1,37,335,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
128,3,38,150,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
129,2,39,603,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
130,14,39,602,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
131,3,39,602,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
132,15,39,602,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
133,3,40,752,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
134,5,40,752,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
135,2,40,752,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
136,6,41,601,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
137,5,41,601,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
138,14,41,600,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
139,4,42,753,6-10;16-19,Spring;Summer;Autumn,Sunny;Cloudy,,
140,6,42,753,6-10;16-19,Spring;Summer;Autumn,Sunny;Cloudy,,
141,4,43,602,6-10;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
142,3,43,602,6-10;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
143,15,43,602,6-10;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
144,4,44,601,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
145,2,44,600,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
146,15,44,600,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
147,6,44,599,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
148,5,45,335,6-10;15-19,Spring;Autumn;Winter,Sunny;Cloudy,,
149,1,46,2010,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
