BaitId,BaitName,BaitType,Rarity,BasePrice_Gold,Attractiveness,Durability,TargetCategory,TargetLayer,Description
1,红蚯蚓,活饵,1,5,40,5,,底层,最常见的万能活饵。红色环节蠕虫，对绝大多数淡水鱼具有致命吸引力，尤其适合底栖鱼种。
2,黑蚯蚓,活饵,2,8,50,3,,底层,比红蚯蚓更粗壮的大型蚯蚓。目标明确的钓手用它引诱大个体鲶鱼和鲤鱼，气味浓郁扩散快。
3,红虫,活饵,1,3,35,8,,底层,摇蚊幼虫，细小柔软呈鲜红色。小型鱼和杂食鱼的最爱，冬季效果尤其出众。
4,面包虫,活饵,2,6,30,10,,中层,黄粉虫幼虫，富含蛋白质。对鲤科鱼、罗非鱼有奇效，浮水性强适合中上层作钓。
5,蚂蚱,活饵,3,10,45,2,,表层,鲜活草蜢，跳入水中的瞬间激起表层掠食鱼的攻击本能，是钓鳜鱼和黑鱼的秘密武器。
6,蛆虫,活饵,1,2,25,12,,底层,苍蝇幼虫，价格低廉但效果不俗。密密麻麻挂满钩尖，对鲫鱼和白条有恐怖的集群吸引力。
7,小泥鳅,活饵,3,15,60,3,淡水鱼,底层,活蹦乱跳的小泥鳅。肉食性鱼类的天然猎物，钓鳜鱼、鲶鱼、黑鱼的顶级活饵。
8,活虾,活饵,3,18,55,3,海水鱼,中下层,透明小虾，海水淡水通用。虾的泳姿能激发掠食本能，对鲈鱼和石斑鱼效果拔群。
9,小鱼苗,活饵,4,25,65,2,,中上层,麦穗鱼等小型活鱼苗。掠食性鱼类的终极诱惑，大鱼见之必咬，但存活时间短需及时使用。
10,水蚯蚓,活饵,2,7,30,6,,底层,水生寡毛纲蠕虫，比红虫更大。深水底层专用，是引诱鲟鱼和大型底栖鱼的不二之选。
11,亮片,人工饵,2,12,45,20,,中上层,金属反光片，入水后闪烁旋转。利用光线反射模仿小鱼鳞片，广泛适用于各种掠食鱼。
12,旋转亮片,人工饵,3,18,55,18,,中层,亮片加旋转叶片的升级版。旋转叶片产生振动波和频闪光，搜索效率极高，远洋鱼种最爱。
13,米诺,人工饵,3,22,60,15,,中层,仿生小鱼硬饵，泳姿逼真。模拟受伤逃窜的小鱼，对鲈鱼和鳜鱼有不可抗拒的诱惑力。
14,波趴,人工饵,3,20,50,12,,表层,嘴部凹陷的浮水饵。抽竿时发出"啵啵"声和水花，专门刺激表层掠食鱼的攻击欲望。
15,铅笔,人工饵,4,25,48,10,,表层,细长浮水饵，无舌板。走之字步时像逃窜的小鱼，诱使金枪鱼和旗鱼冲出水面炸水攻击。
16,软饵,人工饵,2,15,52,8,,中层,柔软塑胶仿生饵。模仿蠕虫或小鱼，触感逼真让鱼含住不放口，适合精细作钓。
17,卷尾蛆,人工饵,2,14,50,10,,中层,软饵变种，尾部带卷曲。水中自然飘动不挑手法，新手老手皆宜的万能搜索饵。
18,铅头钩,人工饵,3,16,42,6,,底层,配重铅头的软饵组合。直击底层结构的重型武器，钓石斑鱼和鳕鱼的标配。
19,飞蝇,人工饵,5,30,35,8,,表层,极轻羽毛仿生饵。模仿飞虫落水瞬间，需要专用飞钓竿，是鳟鱼和鲑鱼钓手的终极浪漫。
20,铁板,人工饵,4,28,58,25,,全层,金属重饵远投之王。快速下沉后垂直跳跃，深海大型鱼种的克星，但操作耗体力。
21,振动饵,人工饵,3,20,55,15,,中层,内置响珠的震动硬饵。发出低频音波穿透浑水，夜钓和浑水环境的神器。
22,沉水铅笔,人工饵,4,26,48,14,,中层,无舌板沉水饵。匀速回收时左右摇摆，急停即上浮，多变操作诱使谨慎大鱼攻击。
23,玉米粒,天然饵,1,3,30,20,,中下层,甜玉米罐头，大颗粒金黄显眼。鲤科鱼的致命克星，也是初学者的入门神饵。
24,面团,天然饵,1,2,25,15,,全层,面粉加香精揉制的软饵。便宜大碗，鲫鱼和白条的最爱，可随意揉捏调整浮沉。
25,面包,天然饵,1,1,20,10,,表层,随手可得的人类食品。撕碎撒窝诱鱼效果一流，专攻表层觅食的白条和鲢鳙。
26,颗粒饲料,天然饵,2,5,28,25,,底层,养殖场标准饲料。养殖鱼从小吃到大的熟悉味道，在养殖水域效果碾压所有高级饵料。
27,红薯块,天然饵,2,4,32,12,,底层,蒸熟红薯切块，香甜软糯。大鲤鱼和草鱼无法抗拒的天然甜味，传统钓法的经典。
28,麦粒,天然饵,1,2,22,18,,底层,泡发小麦粒。颗粒小巧适合小钩，专攻鲫鱼和鳊鱼，效果稳定不招小鱼。
29,豆腐,天然饵,2,6,20,8,,中层,嫩豆腐切丁，清淡洁白。草食性和杂食性鱼的安全食物，在清水环境中效果惊人。
30,米饭,天然饵,1,1,18,15,,全层,煮熟白米饭粒。最朴素的饵料，但在竞技钓中屡建奇功，对滑口鲫鱼有奇效。
31,发光饵,特殊饵,5,35,70,10,,全层,内置LED的电子发光饵。黑暗水域中如灯塔般显眼，夜钓必备的科技饵料。
32,声波饵,特殊饵,6,50,65,12,海水鱼,中层,内置微型振动马达。发出受伤小鱼的生物电频率声波，远洋大型鱼种侦测范围达百米。
33,信息素饵,特殊饵,7,80,75,6,,全层,含特定鱼类信息素的高科技饵料。模拟发情期或进食期的化学信号，最高级别的诱鱼手段。
34,活鱼饵,特殊饵,8,120,85,1,淡水鱼,中上层,成年小鲫鱼或罗非鱼。只有用鱼才能钓到真正的鱼王级掠食者，一次性使用。
35,黄金饵,特殊饵,10,500,100,3,,全层,镀金工艺打造的传说级饵料。闪瞎鱼眼的土豪装备，对稀有和传说级鱼种有额外吸引力加成。
