FishId,FishName,ScientificName,Category,Family,Rarity,MinLength_cm,MaxLength_cm,MinWeight_kg,MaxWeight_kg,HabitatLayer,ActiveTime,PreferredBait,FightPower,BasePrice_Gold,ExpReward,BaseMutationRate,Description
1,鲫鱼,Carassius auratus,淡水鱼,鲤科 Cyprinidae,1,10.0,35.0,0.03,1.2,底层,全天,1;3;6;23;24;28;30,2,15,10,0.02,体侧扁而高，银灰色腹部浅白。适应力极强的广布鱼种，耐低氧耐低温。杂食性，以水草、浮游生物和底栖无脊椎动物为食。钓鱼人的入门导师。
2,鲤鱼,Cyprinus carpio,淡水鱼,鲤科 Cyprinidae,2,20.0,100.0,0.25,30.0,底层,全天,1;2;4;23;26;27,6,40,25,0.03,"体延长侧扁，金黄至青铜色，口角有须两对。跃出水面力量惊人，是淡水钓的终极目标之一。野生个体狡猾谨慎，号称""淡水之王""。"
3,草鱼,Ctenopharyngodon idella,淡水鱼,鲤科 Cyprinidae,2,25.0,120.0,0.30,35.0,中下层,白天,4;23;26;27;29,7,50,30,0.02,"体圆筒形青黄色，头部扁平。典型的草食性鱼类，以水生植物为主食。生长迅速，中钩后爆发力极强，常上演""拔河大战""。"
4,鲢鱼,Hypophthalmichthys molitrix,淡水鱼,鲤科 Cyprinidae,2,25.0,100.0,0.30,20.0,中上层,白天,23;25;26;29,5,35,20,0.02,体侧扁银白色，眼位低。滤食性鱼类，以浮游植物为食。受惊时成群跃出水面，场面壮观。水质清道夫，养殖水域的标配。
5,鳙鱼,Hypophthalmichthys nobilis,淡水鱼,鲤科 Cyprinidae,2,30.0,120.0,0.50,40.0,中上层,白天,23;25;26;29,6,45,28,0.02,"头大无比占体长三分之一，体侧有黑色斑纹。俗称""胖头鱼""或""花鲢""，以浮游动物为主食。大个体中钩后耐力惊人。"
6,青鱼,Mylopharyngodon piceus,淡水鱼,鲤科 Cyprinidae,4,40.0,150.0,1.20,70.0,底层,夜间,2;7;34;27;26,8,120,70,0.04,体长圆筒形青黑色，咽齿发达可压碎螺壳。淡水肉食巨物，以螺蛳、蚌类为主食。力量为王，是淡水钓的巅峰挑战。
7,鳊鱼,Parabramis pekinensis,淡水鱼,鲤科 Cyprinidae,2,15.0,45.0,0.08,1.80,中下层,白天,1;4;23;24;28,3,25,15,0.02,"体侧扁呈菱形，银灰色。俗称""武昌鱼""之近亲，肉质鲜美。群居性强，一旦找到鱼群便是连竿的节奏。"
8,鲮鱼,Cirrhinus molitorella,淡水鱼,鲤科 Cyprinidae,3,15.0,50.0,0.08,2.50,底层,白天,1;3;23;26;28,4,35,20,0.03,体延长侧扁，唇部发达。南方水域特有暖水鱼，不耐低温。集群活动，咬口凶猛，拉力持久，是南方钓友的最爱。
9,白条,Hemiculter leucisculus,淡水鱼,鲤科 Cyprinidae,1,8.0,20.0,0.01,0.12,表层,白天,3;4;6;24;25;30,1,8,5,0.01,体细长银白，遍布各种淡水水域。上层群游小鱼，见饵就抢毫无防备，是初学者练手的最佳对象，也是大型掠食鱼的天然饵料。
10,翘嘴红鲌,Erythroculter ilishaeformis,淡水鱼,鲤科 Cyprinidae,4,25.0,80.0,0.30,8.00,中上层,晨昏,5;9;11;13;14,7,80,45,0.04,"嘴部上翘呈特征性姿态，体延长银白。凶猛掠食性，常在清晨黄昏炸水追小鱼。路亚爱好者的梦幻目标，被称""淡水GT""。"
11,蒙古红鲌,Chanodichthys mongolicus,淡水鱼,鲤科 Cyprinidae,3,18.0,55.0,0.15,3.00,中上层,晨昏,9;11;13;14,6,50,30,0.03,与翘嘴相似但体型略小，体色较深。同样凶猛追食小鱼，咬口干脆利落，中钩后疯狂洗鳃试图脱钩。
12,黄尾鲴,Xenocypris davidi,淡水鱼,鲤科 Cyprinidae,2,12.0,35.0,0.04,1.00,底层,白天,1;3;28;30,3,20,12,0.02,尾鳍下叶金黄色，体延长侧扁。刮食水底藻类和有机碎屑。手感细腻，需精细调漂才能抓准口。
13,三角鲂,Megalobrama terminalis,淡水鱼,鲤科 Cyprinidae,3,18.0,55.0,0.15,3.50,中下层,白天,1;4;23;24;28,4,40,22,0.03,体菱形银灰，肉质极鲜。长江流域原产名贵食用鱼，生性机警。中钩后左右冲刺，对钓组要求高。
14,团头鲂,Megalobrama amblycephala,淡水鱼,鲤科 Cyprinidae,2,15.0,45.0,0.10,2.00,中下层,白天,1;4;23;24;28,3,30,18,0.02,"俗称武昌鱼，体菱形灰黑。毛主席""才饮长沙水，又食武昌鱼""使其名扬天下。肉质细嫩无细刺，是餐桌上的上品。"
